Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,Author,Theme,image,360_image
PASCAL User Manual and Report,Printed Matter,Book,Reference,Programming,PASCAL User Manual and Report,,,,,Kathleen Jensen and Niklaus Wirth,,Springer-Verlag,English,1978,, 0-387-90144-2,,,,,,,,,,2013.10.70,,Brad Feld,,,,,
Assembly Lines: The Book - A Beginner’s Guide to 6502 Programming on the Apple II,Printed Matter,Book,Reference,Assembly,Assembly Lines: The Book - A Beginner’s Guide to 6502 Programming on the Apple II,,,,,Robert Wagner,,Softalk Publishing,English,1982,,81-85708,,,,,,,,,,2013.10.71,,Brad Feld,,,,,
WordStar with Style,Printed Matter,Book,Reference,Word Processing,WordStar with Style,,,,,"Roger B. White, Jr.",,Reston Publishing Company,English,1983,, 0-8359-8793-0,,,,,,,,,,2013.10.72,,Brad Feld,,,,,
WordStar Made Easy,Printed Matter,Book,Reference,Word Processing,WordStar Made Easy,,,,,"Ettlin, Walter A.",,Osborne/McGraw-Hill,English,1981,, 0-931988-69-1,,,,,,,,,,2013.10.73,,Brad Feld,,,,,
Macintosh - Microsoft Multiplan - Electronic Worksheet Program (Manual),Printed Matter,Manual,User,"Apple Computer, Inc.",Macintosh - Microsoft Multiplan - Electronic Worksheet Program (Manual),,,,,Microsoft,,Microsoft,English,1984,,023-096-001,,,,,,,,,,2013.10.74,,Brad Feld,For Apple Macintosh.,,,,
Fivestar - FS-286 Personal Computer - Operations Manual,Printed Matter,Manual,User,Software,Fivestar - FS-286 Personal Computer - Operations Manual,,,,,Fivestar,,Fivestar,English,1986,,27-00214-01C,,,,,,,,,,2013.10.75,,Brad Feld,5.25” Floppy Disk Included - “DOS Supplemental Utilities Diskette”,,,,
PFS:ACCESS - User’s Manual,Printed Matter,Manual,User,Software,PFS:ACCESS - User’s Manual,,,,,Anne B. Long and Barbara Langworthy,,Software Publishing Corporation,English,1985,,,,,,,,,,,,2013.10.76,,Brad Feld,For selected MS-DOS computers.,,,,
Apple II - VERSAcard - Installation and Instruction Manual,Printed Matter,Manual,Setup,"Apple Computer, Inc.",Apple II - VERSAcard - Installation and Instruction Manual,,,,,Prometheus Products,,Prometheus Products,English,1981,,,,,,,,,,,,2013.10.77,,Brad Feld,For your Apple II.,,,,
Beneath Apple DOS,Printed Matter,Book,Reference,DOS,Beneath Apple DOS,,,,,Don Worth and Pieter Lechner,,Quality Software,English,1981,,,,,,,,,,,,2013.10.78,,Brad Feld,,,,,
S-C Macro Assembler,Printed Matter,Manual,User,Software,S-C Macro Assembler,,,,,,,,,,,,,,,,,,,,,2013.10.80,,Brad Feld,,,,,
Apple II - Z-80 SoftCard - Volume 1,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple II - Z-80 SoftCard - Volume 1,,,,,Microsoft,,Microsoft,English,1980,,,,,,,,,,,,2013.10.81,,Brad Feld,A Peripheral for the Apple. With CP/M and Microsoft BASIC on diskette.,,,,
Apple II - Z-80 SoftCard - Volume 2,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple II - Z-80 SoftCard - Volume 2,,,,,Microsoft,,Microsoft,English,1980,,,,,,,,,,,,2013.10.82,,Brad Feld,A Peripheral for the Apple. With CP/M and Microsoft BASIC on diskette.,,,,
Dac-Easy Mate (Version 2.0),Printed Matter,Manual,User,Software,Dac-Easy Mate (Version 2.0),,,,,,,,English,,,,,,,,,,,,,2013.10.83,,Brad Feld,,,,,
Call-A.P.P.L.E. In Depth - Number One,Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.",Call-A.P.P.L.E. In Depth - Number One,,,,,Apple PugetSound Program Library Exchange,,Apple PugetSound Program Library Exchange,English,1981,,,,,,,,,,,,2013.10.84,,Brad Feld,,,,,
