Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes,image,360_image
"Macworld - Volume 2, Number 5 - May 1985",Printed Matter,Magazine,"Macworld - Volume 2, Number 5 - May 1985",,Kearney Rietmann,,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.21,Brad Feld,,,
"Macworld - Volume 2, Number 3 - March 1985",Printed Matter,Magazine,"Macworld - Volume 2, Number 3 - March 1985",,Kearney Rietmann,,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.22,Brad Feld,,,
"Macworld - Volume 2, Number 2 - February 1985",Printed Matter,Magazine,"Macworld - Volume 2, Number 2 - February 1985",,Kearney Rietmann,,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.23,Brad Feld,,,
"Macworld - Volume 2, Number 1 - January 1985",Printed Matter,Magazine,"Macworld - Volume 2, Number 1 - January 1985",,Kearney Rietmann,,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.24,Brad Feld,,,
"Macworld - Volume 1, Number 2 - May/June 1984",Printed Matter,Magazine,"Macworld - Volume 1, Number 2 - May/June 1984",,Andrew Fluegelman,,PC World Communications,1984,English,Computer Magazine,ISSN 0741-8647,2013.10.25,Brad Feld,,,
"PC Tech Journal - Vol. 3, No. 9 - September 1985",Printed Matter,Magazine,"PC Tech Journal - Vol. 3, No. 9 - September 1985",,Will Fastie,,Ziff-Davis,1985,English,Computer Magazine,ISSN 0738-0194,2013.10.26,Brad Feld,,,
PC World - October 1985,Printed Matter,Magazine,PC World - October 1985,,Harry Miller,,PC World Communications,1985,English,Computer Magazine,ISSN 0737-8939,2013.10.27,Brad Feld,,,
"BYTE: The Small Systems Journal - Vol. 10, No. 12 - December 1985",Printed Matter,Magazine,"The Small Systems Journal - Vol. 10, No. 12 - December 1985",,Philip Lemmons,,McGraw-Hill,1985,English,Computer Journal,ISSN 0360-5280,2013.10.28,Brad Feld,,,
"BYTE: The Small Systems Journal - Vol. 10, No. 11 - November 1985",Printed Matter,Magazine,"The Small Systems Journal - Vol. 10, No. 11 - November 1985",,Philip Lemmons,,McGraw-Hill,1985,English,Computer Journal,ISSN 0360-5280,2013.10.29,Brad Feld,,,
"BYTE: The Small Systems Journal - Vol. 10, No. 10 - October 1985",Printed Matter,Magazine,"The Small Systems Journal - Vol. 10, No. 10 - October 1985",,Philip Lemmons,,McGraw-Hill,1985,English,Computer Journal,ISSN 0360-5280,2013.10.30,Brad Feld,,,
"BYTE: The Small Systems Journal - Vol. 10, No. 9 - September 1985",Printed Matter,Magazine,"The Small Systems Journal - Vol. 10, No. 9 - September 1985",,Philip Lemmons,,McGraw-Hill,1985,English,Computer Magazine,ISSN 0360-5280,2013.10.31,Brad Feld,,,
The Macintosh Buyer’s Guide - Premiere Issue - Winter 1984,Printed Matter,Magazine,The Macintosh Buyer’s Guide - Premiere Issue - Winter 1984,,Ted Leonsis,,Redgate Publishing Company,1984,English,Computer Buyer’s Guide,,2013.10.32,Brad Feld,,,
"PC: The Independent Guide to IBM Personal Computers - Volume 4, Number 23 - November 12, 1985",Printed Matter,Magazine,"The Independent Guide to IBM Personal Computers - Volume 4, Number 23 - November 12, 1985",,Bill Machrone,,PC Communications Corp,1985,English,Computer Magazine,ISSN 0745-2500,2013.10.33,Brad Feld,,,
Macintosh Update Coupons,Printed Matter,Manual,Macintosh Update Coupons,,,,,,English,Computer Update Coupons,,2013.10.36,Brad Feld,Various coupons in envelope.,,
Macworld (Clippings from Various Issues),Printed Matter,Magazine,Macworld (Clippings from Various Issues),,,,PC World Communications,,English,Computer Magazine (Clippings),,2013.10.44,Brad Feld,Clippings from multiple issues. Combined in legal folder.,,
"InfoWorld - Volume 7, Issue 25 - June 24, 1985",Printed Matter,Magazine,"InfoWorld - Volume 7, Issue 25 - June 24, 1985",,J. Michael Lowe,,Popular Computing,1985,English,Computer Magazine,ISSN 0199-6649,2013.10.49,Brad Feld,,,
Physicians and Computers - Vol. 3 No. 2 - June 1985,Printed Matter,Magazine,Physicians and Computers - Vol. 3 No. 2 - June 1985,,Alvin Anderson,,P & C Publications,1985,English,Computer Magazine,,2013.10.50,Brad Feld,,,
"PC Tech Journal - Vol. 3, No. 10 - October 1985",Printed Matter,Magazine,"PC Tech Journal - Vol. 3, No. 10 - October 1985",,Will Fastie,,Ziff-Davis,1985,English,Computer Magazine,ISSN 0738-0194,2013.10.51,Brad Feld,,,
Call-A.P.P.L.E. In Depth - Number One,Printed Matter,Magazine,Call-A.P.P.L.E. In Depth - Number One,Apple PugetSound Program Library Exchange,Val J. Golding,,Apple PugetSound Program Library Exchange,1981,English,Computer Magazine,,2013.10.84,Brad Feld,,,
Executive’s Review & Guide to Smartware: For Personal Computer Success - Volume 10,Printed Matter,Magazine,For Personal Computer Success - Volume 10,Smartware,,,Smartware,1985,English,Computer Catalog,,2013.10.90,Brad Feld,,,
"Filevision Magazine - Volume 1, Number 3, Fall 1985",Printed Matter,Magazine,"Filevision Magazine - Volume 1, Number 3, Fall 1985",Filevision,Darline Aryai,,Telos Software Products,1985,English,Computer Magazine,,2013.10.91,Brad Feld,,,
The MACazine - Premiere Issue - December 1984,Printed Matter,Magazine,The MACazine - Premiere Issue - December 1984,,John D. Buquoi,,Icon Concepts Corporation,1984,English,Computer Magazine,,2013.10.96,Brad Feld,,,
"Timex Sinclair User: Volume 1, #4",Printed Matter,Magazine,"Volume 1, #4",,John Sterlicchi,,ECC Publications Inc. in conjunction with C/W/ Communications/Inc.,1983,English,Computing Magazine,"Volume 1, #4",2013.12.131,Kenneth Kuhn,,,
"Timex Sinclair User: Volume 1, #5",Printed Matter,Magazine,"Volume 1, #5",,John Sterlicchi,,ECC Publications Inc. in conjunction with C/W/ Communications/Inc.,1983,English,Computing Magazine,"Volume 1, #5",2013.12.132,Kenneth Kuhn,,,
"TRS-80 Microcomputer News (Volume 5, Issues 2-7, February-July 1983)",Printed Matter,Magazine,"TRS-80 Microcomputer News (Volume 5, Issues 2-7 (February-July 1983)",,,,Tandy Corporation,1983,English,Computing Magazine,,,William Waite,"Volume 5, Issues 2-7 (February-July), 1983.",,
The Computer Museum: Annual Report,Printed Matter,Magazine,Annual Report,,,,Atlantic Printing Company,1998,English,Computer,,2014.06.6,Hal Shear,,,
The 1995 Computer Bowl: The Obsessive Passion of Technology,Printed Matter,Magazine,The Obsessive Passion of Technology,,,,"Apple Computer, Inc.",1995,English,Computer,,2014.06.7,Hal Shear,,,
The Computer Museum’s 1996 Computer Bowl,Printed Matter,Magazine,The Computer Museum’s 1996 Computer Bowl,,,,,1996,English,Computer,,2014.06.8,Hal Shear,,,
Commodore Magazine,Printed Matter,Magazine,Commodore Magazine,,Carol Minton,,Commodore Magazine Inc.,1987,English,Gaming,,2014.10.48,,,,
American Design Components,Printed Matter,Magazine,American Design Components,,,,American Design Components,,English,,,2014.10.49,,,,
Jameco Electronics Catalogue 1988,Printed Matter,Magazine,Jameco Electronics Catalogue 1988,,,,Jameco Electronics,1988,English,Catalogue,,2014.10.50,,,,
Jameco Electronics Catalogue 1989,Printed Matter,Magazine,Jameco Electronics Catalogue 1989,,,,Jameco Electronics,1989,English,Catalogue,,2014.10.51,,,,
Jameco Electronics Catalogue 1991,Printed Matter,Magazine,Jameco Electronics Catalogue 1991,,,,Jameco Electronics,1991,English,Catalogue,,2014.10.52,,,,
Jameco Electronics Catalogue 1993,Printed Matter,Magazine,Jameco Electronics Catalogue 1993,,,,Jameco Electronics,1993,English,Catalogue,,2014.10.53,,,,
IEEE Spectrum 2003,Printed Matter,Magazine,IEEE Spectrum,,,,"The Institute of Electrical and Electronics Engineers, Inc.",2003,English,Informational,,2014.10.54,,,,
JDR Microdevices 1993 #28,Printed Matter,Magazine,JDR Microdevices 1993 #28,,,,JDR Microdevices,1993,English,Catalogue,,2014.10.55,,,,
JDR Microdevices 1993 #34,Printed Matter,Magazine,JDR Microdevices 1993 #28,,,,JDR Microdevices,1993,English,Catalogue,,2014.10.56,,,,
JDR Microdevices 1997 #64,Printed Matter,Magazine,JDR Microdevices 1997 #64,,,,JDR Microdevices,1997,English,Catalogue,,2014.10.57,,,,
Linux Format: Raspberry pi,Printed Matter,[Journal/Magazine],Raspberry Pi,,Graham Morrison,,Future Publishing,2013,English,Computing Magazine,,2015.03.11,,Special Edition,,
"The Writer’s Chronicle: Vol. 44, No. 6",Printed Matter,[Journal/Magazine],"Vol. 44, No. 6",,D.W. Fenza,,The Association of Writers and Writing Program,2012,English,Writing Magazine,1529-5443,2015.09.23,,,,
Portable Computer: April/May 1983,Printed Matter,Magazine,April/May 1983,,Stephen J. Schneiderman,,Marshall W. Freeman,1983,English,Computer Magazine,7447012531,2015.09.24,,,,
"Microcomputing: Volume VI, No. 4",Printed Matter,Magazine,"Volume VI, No. 4",,Wayne Green,,Wayne Green,1982,English,Computer Magazine,0192-4575,2015.09.25,,,,
"Macworld: Volume 1, No. 1",Printed Matter,Magazine,"Volume 1, No. 1",,Andrew Fluegelman,,"PC World Communications, Inc.",1984,English,Magazine,ISSN 0741-8647,2015.09.26,,,,
"BYTE: The Small Systems Journal - Volume 5, No. 7",Printed Matter,Magazine,"The Small Systems Journal - Volume 5, No. 7",,Christopher P. Morgan,,BYTE Publications Inc,1980,English,Magazine,ISSN 0360-5280,2015.09.27,,,,
"Creative Computing: Volume 8, No. 6",Printed Matter,Magazine,"Volume 8, No. 6",,David H. Ahl,,Ahl Computing Inc.,1982,English,Magazine,ISSN 0097-8140,2015.09.28,,,,
"Creative Computing: Volume 7, No. 4",Printed Matter,Magazine,"Volume 7, No.4",,David H. Ahl,,Ahl Computing Inc.,1981,English,Magazine,,2015.09.29,,,,
Computing Dictionary: tthe illustrated book of terms and technologies,Printed Matter,Magazine,Computing Dictionary: the illustrated book of terms and technologies,Learning Series,,,Peed Corporation,1996,English,Magazine,,2018.04.29,,,,
"Quark Courant Vol. 1, Number 1",Printed Matter,Magazine,"Quark Courant Vol. 1, Number 1",,,,Quark Incorporated,1983,English,Magazine,,2018.09.16,Guy L. Bush,Handwritten notes and typed access control commands folded in newsletter,,
